loan_id,user_id,loan_type,amount,interest_rate,term_months,status,application_date
60,97568,Home,6264154.3,9.49,120,closed,2023-10-19 11:05:19
61,24443,Auto,1134611.56,8.16,240,rejected,2023-11-13 07:06:35
62,52749,Education,601130.14,14.18,180,closed,2024-01-05 23:25:39
63,50056,Auto,723069.9,10.17,48,pending,2024-03-05 08:01:51
64,62528,Business,4875733.39,14.18,24,rejected,2024-06-06 01:59:49
65,53594,Personal,354686.73,11.66,24,rejected,2024-05-12 01:32:31
66,71702,Home,282698.16,13.86,24,approved,2025-03-04 06:54:02
67,24663,Home,9727259.14,12.55,36,rejected,2023-12-09 08:06:17
68,25012,Education,2852706.01,14.72,36,rejected,2024-12-30 19:14:47
69,61,Education,886119.55,13.3,180,approved,2025-03-10 04:48:11
70,2136,Business,7442461.71,13.8,180,approved,2024-12-20 06:44:34
71,98801,Personal,4981119.33,12.6,36,closed,2024-10-03 17:40:04
72,24204,Business,5751710.21,11.95,12,approved,2023-11-26 02:18:29
73,81307,Home,6587699.13,10.19,48,pending,2023-10-20 22:24:54
74,28640,Personal,1592311.78,14.75,60,closed,2024-02-08 05:31:14
75,73753,Education,7526688.46,10.88,24,pending,2024-05-12 21:27:14
76,65275,Home,1234419.92,9.12,24,rejected,2025-02-07 20:40:25
77,32339,Auto,1667670.2,12.01,240,pending,2023-04-25 08:25:04
78,87108,Auto,2630444.42,12.71,180,approved,2023-07-09 11:38:20
79,24650,Auto,402882.3,13.74,48,approved,2023-12-03 05:27:18
80,42960,Home,4917894.86,12.98,180,pending,2023-08-20 01:14:57
81,99975,Education,8477260.01,10.92,120,closed,2023-05-14 15:09:30
82,75309,Auto,711787.96,9.82,24,rejected,2024-01-19 07:48:22
83,785,Education,3359492.73,11.06,12,pending,2023-04-18 02:15:50
84,25777,Personal,340507.24,9.61,36,pending,2024-08-12 03:00:25
85,56495,Education,9827957.11,13.79,12,closed,2024-01-18 13:51:38
86,58600,Business,6170418.44,10.29,48,closed,2023-08-12 03:22:48
87,5022,Auto,2643313.8,7.63,240,rejected,2024-11-01 17:03:41
88,87030,Auto,1657127.01,14.53,12,rejected,2023-04-15 13:37:51
89,76981,Home,1329066.07,8.11,120,pending,2024-12-12 09:39:34
90,49414,Auto,4095944.69,10.46,48,rejected,2023-09-12 23:04:19
91,44954,Home,4261161.18,11.37,60,closed,2023-09-01 10:26:14
92,65417,Business,1223904.16,10.86,240,approved,2024-06-12 19:08:26
93,13055,Education,9574425.14,10.14,180,closed,2023-06-22 12:52:56
94,57813,Auto,1177370.93,11.8,12,approved,2024-12-07 16:26:56
95,31187,Education,7574449.44,13.45,180,rejected,2024-10-20 13:46:58
96,88227,Home,5185343.7,7.58,60,pending,2025-01-20 11:09:53
97,34446,Business,1270407.45,13.84,120,approved,2023-06-21 23:43:57
98,58523,Home,2635788.58,12.2,48,closed,2024-08-26 21:49:25
99,16496,Auto,6720571.76,12.76,120,pending,2024-11-12 20:15:10
100,8050,Business,2594402.43,10.82,120,closed,2024-09-08 05:30:45
101,64594,Education,9200588.86,11.74,24,approved,2025-03-07 15:36:28
102,47867,Home,4076562.24,14.9,12,pending,2024-09-06 12:26:08
103,80304,Personal,7575577.77,14.74,12,closed,2023-09-14 22:26:08
104,57816,Business,212498.11,8.95,36,pending,2023-08-26 04:57:52
105,18410,Education,1239621.92,8.48,24,approved,2023-11-24 10:10:54
106,58155,Education,4528557.91,14.22,48,rejected,2024-11-15 21:13:07
107,23320,Personal,6957816.08,12.81,120,approved,2023-12-14 14:36:39
108,85365,Auto,3461209.48,8.85,180,pending,2023-06-15 04:27:25
109,85440,Business,5180921.3,10.45,12,pending,2023-12-26 23:17:44
110,93564,Personal,2734142.17,11.61,24,pending,2023-07-30 01:19:52
111,58819,Education,5922620.56,9.32,12,pending,2024-09-14 06:53:39
112,852,Education,326941.22,12.96,180,approved,2024-06-15 02:48:16
113,32329,Education,9404355.28,11.27,12,closed,2024-06-02 01:04:22
114,26080,Business,1002779.39,11.98,48,pending,2024-02-06 14:09:49
115,92391,Business,2545681.91,9.35,12,rejected,2024-12-08 10:52:18
116,98211,Home,1202436.6,12.25,60,pending,2023-04-21 04:50:03
117,37520,Personal,9990172.33,12.28,180,rejected,2024-01-30 18:26:46
118,70978,Personal,7961195.97,9.73,48,pending,2024-08-04 18:49:00
119,59137,Home,2672418.32,8.99,60,closed,2024-04-28 19:52:09
120,35841,Education,1756713.88,11.27,120,closed,2023-06-13 04:15:21
121,27881,Personal,6944492.65,8.23,12,rejected,2024-01-08 05:55:18
122,15891,Home,4492400.1,8.73,60,pending,2024-04-05 06:00:06
123,10694,Education,4754146.1,11.12,240,closed,2023-05-30 17:47:12
124,32036,Auto,4453077.79,8.89,36,approved,2023-10-06 09:22:24
125,16802,Education,4266079.52,8.64,12,rejected,2024-04-02 20:20:49
126,92310,Business,2418441.6,12.35,240,closed,2023-09-23 16:29:52
127,64107,Personal,3497845.97,14.07,36,pending,2023-04-22 20:10:34
128,62652,Personal,5351776.49,9.41,12,pending,2025-03-25 13:52:00
129,5937,Home,1499343.05,14.4,180,rejected,2024-10-29 13:43:20
130,93696,Home,3833865.23,7.12,12,approved,2024-10-29 21:26:35
131,74169,Auto,1049954.53,9.12,36,rejected,2024-03-25 19:37:00
132,48148,Business,5606737.33,11.89,24,pending,2023-08-01 02:59:19
133,33713,Business,7814774.22,13.46,120,approved,2024-12-11 00:42:40
134,97387,Education,1249950.97,7.99,48,closed,2023-07-31 05:51:42
135,52354,Auto,8905444.0,13.05,12,pending,2024-07-08 21:32:49
136,99626,Home,1903827.34,12.73,60,closed,2024-02-11 10:44:41
137,56902,Education,6972282.03,9.98,180,pending,2025-03-08 13:14:46
138,53041,Home,2249769.16,14.31,48,pending,2024-04-01 01:13:31
139,14316,Education,6293739.34,13.23,12,closed,2024-04-18 00:17:12
140,96812,Home,7699149.88,7.31,48,rejected,2023-11-04 02:39:39
141,87060,Auto,7291759.56,14.74,36,approved,2023-10-25 19:24:07
142,2415,Personal,9581692.13,13.83,12,approved,2025-03-07 15:32:50
143,13250,Personal,4057775.57,13.47,24,pending,2023-12-13 12:42:43
144,98293,Personal,7171089.66,13.05,12,pending,2024-10-30 03:55:16
145,88329,Education,7481646.86,11.23,60,approved,2024-10-11 17:25:45
146,39883,Auto,2025291.71,8.87,12,pending,2023-06-16 15:45:56
147,18278,Personal,4253233.18,9.95,180,approved,2024-03-18 10:39:14
148,89627,Auto,8586350.75,10.93,60,closed,2023-07-02 17:12:06
149,19248,Auto,4928373.51,10.43,24,approved,2024-02-08 22:48:46
150,53892,Business,3528086.15,13.44,36,closed,2024-06-24 19:50:28
151,59692,Auto,808759.56,7.53,180,pending,2023-08-17 00:33:01
152,50801,Personal,1677231.98,7.8,36,rejected,2024-11-13 17:43:01
153,79477,Home,225133.51,10.62,240,closed,2024-10-15 00:11:16
154,33972,Auto,5266257.27,10.49,12,closed,2023-06-10 01:41:52
155,13798,Personal,3562579.67,7.81,60,pending,2024-03-05 03:32:37
156,53658,Personal,2819728.78,9.7,120,closed,2023-11-21 22:18:08
157,48595,Personal,5236918.89,14.33,180,rejected,2024-04-20 04:51:17
158,67704,Education,5346645.44,10.82,240,closed,2024-01-28 22:33:43
159,59596,Home,3911057.23,11.26,36,rejected,2023-05-29 05:18:30
160,213,Home,7611892.29,10.36,60,closed,2024-09-04 21:05:33
161,80092,Auto,3933116.87,13.0,48,rejected,2023-07-30 01:00:55
162,28953,Auto,9217998.3,7.27,60,pending,2023-10-04 16:26:53
163,15523,Education,2156276.0,14.77,48,pending,2024-09-29 17:01:09
164,35471,Home,6436649.47,10.97,48,approved,2024-02-20 06:46:44
165,88152,Business,4784496.9,14.67,180,closed,2024-07-19 03:39:58
166,12494,Education,1181984.78,9.34,60,closed,2024-08-20 13:14:55
167,52613,Personal,5948541.63,10.0,60,approved,2024-05-02 22:41:28
168,24365,Auto,7880981.06,8.27,60,pending,2023-12-01 18:27:05
169,66427,Business,2468986.31,10.35,36,approved,2024-03-25 06:23:48
170,97077,Education,5365171.88,9.54,180,pending,2023-06-02 21:38:00
171,26733,Home,3886392.81,10.91,12,approved,2023-11-15 11:19:13
172,5208,Education,9031286.52,13.85,48,pending,2025-03-09 05:24:24
173,82937,Personal,1063670.2,12.02,12,pending,2024-11-14 08:25:31
174,51884,Education,8198074.78,14.29,60,pending,2024-05-11 17:30:15
175,42379,Personal,5292850.56,14.28,36,pending,2024-05-18 01:49:28
176,10795,Business,4712957.1,7.92,120,rejected,2024-07-21 17:05:45
177,84429,Home,1616050.91,12.94,120,approved,2024-01-01 17:57:17
178,8893,Business,5429198.9,13.23,24,approved,2024-06-24 23:24:41
179,76244,Auto,8693634.01,8.46,120,closed,2024-12-27 18:29:29
180,51857,Personal,1697527.77,10.87,12,approved,2024-04-21 07:12:42
181,78369,Business,6874008.5,11.03,36,pending,2024-12-25 06:22:15
182,99519,Auto,9297439.77,13.89,240,approved,2024-01-15 18:56:30
183,39225,Education,2571776.48,13.53,180,approved,2024-09-16 09:51:04
184,65577,Business,8437630.69,7.86,12,rejected,2024-03-13 20:36:08
185,55781,Personal,4736180.51,12.58,12,approved,2023-05-05 16:03:03
186,14389,Education,2147775.11,7.54,48,approved,2024-05-14 15:02:00
187,28830,Personal,7226556.41,13.79,120,rejected,2024-05-19 20:12:27
188,26597,Auto,5716072.34,13.61,240,closed,2024-07-08 18:50:52
189,20929,Home,7775047.77,10.41,60,approved,2024-05-07 14:34:17
190,45550,Auto,8996516.6,9.69,12,approved,2024-10-28 22:38:36
191,42638,Business,6587450.59,9.95,180,approved,2024-10-16 16:54:14
192,77075,Education,3320250.33,11.29,60,rejected,2024-04-06 15:25:15
193,80024,Education,5334637.67,11.27,36,approved,2023-05-17 22:34:06
194,48890,Education,8989459.59,7.17,60,approved,2024-07-14 05:00:15
195,79701,Business,6318122.9,9.83,180,pending,2023-12-15 21:20:48
196,88851,Auto,5961129.13,8.11,36,approved,2023-06-25 04:25:28
197,26025,Personal,7129162.18,14.28,12,rejected,2024-04-23 02:26:15
198,31451,Business,4810380.53,7.28,36,rejected,2025-02-23 20:45:05
199,23267,Education,8769576.09,10.86,120,closed,2025-02-05 13:52:49
200,92549,Education,3839506.07,11.44,180,pending,2023-04-17 01:00:16
201,17417,Home,1781206.61,12.73,180,approved,2023-08-06 16:12:25
202,46516,Education,620381.97,15.0,240,closed,2023-08-31 14:03:12
203,10985,Home,1579396.89,8.51,60,pending,2023-09-16 09:01:02
204,54677,Personal,2657345.53,11.99,24,closed,2024-10-11 14:31:39
205,36689,Personal,7607948.82,7.72,180,approved,2024-08-31 00:09:45
206,30166,Auto,8374883.03,13.37,240,approved,2024-12-03 09:52:04
207,64849,Auto,445169.54,14.8,240,closed,2023-04-23 01:03:43
208,49134,Business,1237901.95,11.03,120,rejected,2024-08-09 01:43:26
209,37776,Education,1927595.43,10.83,48,approved,2023-09-02 09:28:33
210,78029,Education,7098863.45,11.01,48,rejected,2023-08-12 08:31:07
211,54790,Personal,8166959.57,12.66,24,rejected,2024-03-31 04:03:58
212,51063,Business,3331072.31,8.16,60,rejected,2023-11-09 18:11:41
213,66901,Auto,2625942.38,14.73,12,pending,2023-08-25 08:36:40
214,75369,Home,1708461.57,11.55,24,approved,2024-10-07 03:01:42
215,62117,Education,3583426.77,13.35,120,rejected,2023-11-29 07:37:08
216,79574,Home,4710480.24,8.91,60,closed,2023-12-09 10:13:35
217,3254,Personal,3898670.05,7.43,24,rejected,2023-06-28 10:18:15
218,62376,Auto,9805045.39,7.23,180,rejected,2024-01-13 02:36:35
219,76792,Business,3015946.17,7.09,180,closed,2023-12-25 19:03:45
220,35503,Business,9493116.42,9.03,24,closed,2023-11-02 13:06:16
221,87622,Business,535035.44,8.08,36,approved,2023-07-03 16:57:32
222,21547,Business,4088147.33,14.18,24,pending,2024-12-24 13:53:31
223,88952,Auto,7141121.16,14.27,180,approved,2024-09-23 09:15:28
224,21440,Personal,7607611.77,9.7,24,pending,2023-08-04 17:21:53
225,73728,Business,9623499.55,12.82,240,rejected,2024-04-17 06:38:08
226,79244,Auto,8098337.83,8.83,180,rejected,2023-06-11 19:48:06
227,34518,Auto,9088695.14,7.49,12,approved,2025-03-22 02:06:57
228,42590,Business,6270174.27,11.35,24,closed,2023-06-15 17:41:20
229,75654,Business,7324843.71,7.9,12,pending,2023-12-26 18:26:22
230,40673,Business,9557958.71,8.34,48,rejected,2024-01-12 04:50:45
231,96972,Personal,5764355.07,14.03,120,pending,2024-10-11 12:19:39
232,17193,Education,5427811.29,10.52,12,rejected,2024-10-21 13:01:32
233,72529,Auto,8680218.16,9.58,180,pending,2024-09-15 03:08:06
234,72061,Personal,7594742.75,13.74,48,closed,2024-11-09 18:23:45
235,2847,Auto,232899.31,8.41,60,pending,2023-04-09 01:20:09
236,86055,Personal,5586617.98,14.71,120,pending,2023-05-09 01:59:17
237,58549,Personal,4741931.85,14.45,240,closed,2023-08-05 18:15:51
238,38171,Home,5321988.11,14.8,240,approved,2024-03-12 14:26:24
239,42786,Personal,1545847.4,15.0,36,pending,2023-04-05 09:28:14
240,14195,Personal,2043545.24,14.54,36,closed,2023-05-27 15:32:30
241,69758,Education,9630259.04,13.32,120,closed,2024-08-05 07:50:05
242,10331,Education,3008943.23,14.47,48,approved,2024-02-07 16:15:46
243,80331,Personal,1458377.29,8.99,24,pending,2024-01-25 10:36:56
244,82740,Home,6692574.05,9.91,24,closed,2024-06-02 20:17:45
245,45176,Home,1828068.97,8.37,60,approved,2024-05-02 08:42:03
246,60629,Home,1929343.36,9.18,180,approved,2023-05-07 10:00:34
247,7569,Business,6693228.07,8.82,36,pending,2024-06-23 03:25:28
248,89296,Home,2428591.23,8.06,120,approved,2025-02-13 13:14:11
249,39614,Education,9087471.82,10.51,180,approved,2024-02-06 19:42:10
250,49951,Business,8364636.16,14.48,180,approved,2024-09-20 02:50:27
251,99866,Home,7711145.15,13.01,180,approved,2024-05-19 23:20:58
252,80005,Personal,2637483.23,10.7,180,approved,2024-09-20 09:31:18
253,8118,Home,8616996.39,11.39,120,pending,2023-04-17 17:42:22
254,29499,Home,9212791.58,7.07,240,approved,2023-11-03 21:05:59
255,77968,Education,8411579.09,10.92,120,rejected,2024-11-21 04:22:35
256,97746,Education,6292995.03,13.58,24,closed,2025-02-25 02:10:25
257,27189,Personal,3016384.71,10.88,48,rejected,2023-11-09 14:29:36
258,8018,Education,3740733.39,8.34,240,rejected,2024-03-21 12:04:01
259,17632,Home,9241694.12,7.69,120,rejected,2023-05-01 11:05:00
260,2356,Personal,6799748.02,12.27,60,approved,2023-05-29 17:28:32
261,8988,Personal,5885230.05,13.45,60,rejected,2023-11-17 17:32:26
262,66847,Business,3046808.4,11.83,12,rejected,2024-02-03 05:02:01
263,81809,Home,8599797.09,7.08,180,closed,2023-09-02 13:40:28
264,3594,Personal,868988.06,14.89,12,approved,2024-08-27 21:55:06
265,53306,Personal,6218828.55,14.35,48,rejected,2024-03-27 10:04:41
266,33651,Personal,7979979.69,14.36,48,approved,2023-06-29 09:28:31
267,91719,Personal,8568720.1,12.96,240,closed,2024-12-23 08:52:15
268,34362,Home,8404635.45,8.77,180,approved,2024-12-25 05:35:23
269,72083,Auto,7536750.61,8.02,12,closed,2024-11-23 01:29:32
270,67367,Auto,8095824.45,12.64,180,approved,2023-10-02 02:41:42
271,34155,Business,6464258.81,14.68,180,pending,2025-03-02 07:42:15
272,44542,Home,4459434.42,13.14,180,rejected,2023-10-30 05:39:49
273,88235,Business,8833525.13,9.16,120,rejected,2024-05-17 06:12:52
274,4803,Business,1658961.48,7.89,36,rejected,2023-09-13 03:32:42
275,16374,Auto,3317917.5,14.45,12,closed,2024-09-17 16:52:36
276,45505,Education,8746400.77,9.05,60,pending,2023-07-25 09:07:08
277,89817,Auto,7508047.27,14.72,120,approved,2023-07-29 10:45:32
278,49632,Personal,1629625.69,9.71,60,pending,2023-10-21 10:30:24
279,77038,Business,3644675.6,8.13,240,closed,2023-10-23 00:12:37
280,93353,Education,4200786.79,13.84,36,pending,2025-01-16 18:17:15
281,61876,Home,4690559.4,10.03,60,approved,2023-08-26 03:32:13
282,62399,Education,1569627.44,11.56,24,rejected,2024-02-25 04:08:49
283,69229,Auto,4715952.47,7.74,36,rejected,2024-03-15 23:33:21
284,64699,Business,8043884.6,14.0,48,pending,2023-08-17 19:54:00
285,10980,Business,7907343.17,12.31,12,rejected,2025-02-18 19:12:30
286,57609,Personal,6124434.02,12.24,24,closed,2024-02-12 21:54:42
287,37339,Business,4219611.02,13.72,24,closed,2023-09-27 01:13:29
288,10291,Personal,4836156.39,9.69,36,rejected,2023-12-04 07:54:24
289,51955,Auto,6972006.58,14.18,180,pending,2024-11-19 19:40:26
290,99572,Home,3171847.88,12.78,12,rejected,2023-04-08 19:28:09
291,14260,Auto,1840402.43,7.14,240,rejected,2024-02-01 01:00:41
292,91219,Home,5219038.92,8.82,60,rejected,2025-03-04 03:32:11
293,68622,Business,8059912.09,14.28,24,pending,2024-06-21 16:52:03
294,61903,Auto,3128837.88,12.14,60,pending,2024-12-30 15:00:55
295,98772,Business,2372341.41,10.97,240,closed,2023-10-04 04:44:47
296,49598,Home,9715372.44,13.22,36,rejected,2024-03-15 00:40:14
297,69503,Education,6462485.97,9.25,48,approved,2023-04-26 07:55:40
298,94245,Business,5869245.0,12.16,48,approved,2023-05-05 02:23:35
299,95714,Personal,7801411.44,13.99,36,pending,2024-08-08 04:35:25
300,53326,Business,1339548.47,14.04,24,approved,2024-12-29 17:16:51
301,11363,Business,4987062.98,10.34,240,closed,2024-08-14 07:34:40
302,10878,Personal,1643901.66,10.5,120,closed,2025-01-13 03:22:26
303,28581,Auto,321465.55,14.98,12,closed,2024-06-10 19:12:00
304,99794,Business,7166677.23,10.22,240,closed,2024-03-27 10:50:56
305,88125,Business,1536585.94,8.51,180,pending,2024-09-14 11:34:12
306,45583,Auto,6432615.73,13.25,48,rejected,2023-11-10 06:00:57
307,82990,Business,7428672.47,10.7,12,pending,2024-08-11 07:45:15
308,45384,Personal,9660522.4,13.97,24,closed,2023-07-27 16:49:54
309,25139,Education,8683046.96,10.53,240,closed,2024-11-06 14:47:25
310,11670,Home,868774.89,14.64,12,pending,2024-08-26 12:37:59
311,540,Home,3186063.16,9.67,60,approved,2024-06-01 20:11:18
312,59796,Education,8286732.69,7.52,36,pending,2025-01-07 09:36:53
313,79705,Personal,8246780.38,12.58,24,pending,2025-01-14 10:33:11
314,95349,Home,7622220.56,13.87,120,closed,2024-03-17 06:29:47
315,53407,Personal,5223315.45,10.44,36,approved,2024-01-27 14:37:11
316,49815,Personal,2193340.35,13.95,120,closed,2023-08-13 18:24:53
317,41953,Home,5847935.6,9.83,36,approved,2024-03-08 15:14:37
318,31120,Home,458165.24,7.12,48,rejected,2023-03-28 19:00:01
319,77816,Business,1224083.85,13.06,180,approved,2023-07-29 10:49:07
320,73452,Education,8255208.02,14.62,240,closed,2023-04-07 05:41:06
321,66318,Education,9539154.59,12.35,24,pending,2024-01-09 15:05:54
322,59554,Business,9944908.98,14.91,48,closed,2024-02-18 10:12:42
323,22132,Personal,1105381.37,13.66,60,pending,2024-11-08 11:05:22
324,14220,Home,4349666.36,9.66,60,approved,2023-07-04 07:14:37
325,757,Home,9163619.49,11.23,48,closed,2024-08-21 06:54:46
326,90336,Auto,6882550.4,9.29,180,rejected,2024-05-29 00:25:58
327,791,Business,780642.12,7.98,48,pending,2025-03-06 18:40:36
328,77292,Business,9104171.68,11.81,24,closed,2025-02-15 06:41:19
329,28063,Business,5494033.1,9.6,180,pending,2023-09-06 22:49:42
330,87627,Auto,2488293.54,14.21,48,closed,2023-09-15 13:44:22
331,9235,Auto,2943952.64,7.05,48,closed,2024-03-22 00:08:31
332,4177,Auto,638564.79,9.71,24,approved,2024-05-06 07:51:23
333,99879,Auto,9318489.34,7.12,36,rejected,2024-08-30 05:04:47
334,1617,Business,2936662.0,14.76,180,approved,2023-05-25 23:46:46
335,84670,Auto,4825782.61,14.0,60,pending,2024-09-21 14:13:26
336,87256,Home,5880917.93,7.14,120,rejected,2024-09-18 14:02:40
337,40690,Business,5926161.0,10.15,180,closed,2024-08-17 05:18:01
338,83539,Auto,4773527.13,13.83,24,pending,2024-07-21 00:43:40
339,25124,Business,8638090.74,11.31,12,approved,2023-10-06 00:49:51
340,56135,Personal,3115973.31,13.23,36,pending,2024-08-01 22:06:05
341,43971,Business,426525.64,13.28,180,closed,2025-01-23 03:38:14
342,58383,Home,8340681.34,14.11,36,rejected,2024-11-16 04:12:34
343,37835,Home,4018743.62,11.14,180,approved,2025-03-26 14:42:56
344,41003,Business,8549281.81,8.69,12,rejected,2023-07-11 02:03:47
345,97637,Home,5899009.17,14.14,36,rejected,2024-07-12 07:13:48
346,24318,Home,8808080.06,13.28,48,closed,2024-09-30 17:28:18
347,5251,Auto,3053340.4,9.69,120,pending,2023-05-29 18:36:11
348,63207,Business,8140471.77,9.55,36,approved,2024-08-15 10:09:45
349,43064,Home,1102983.88,10.3,240,pending,2024-05-21 01:19:33
350,72121,Education,2090343.08,10.92,60,approved,2024-12-04 07:46:04
351,54749,Home,909122.39,14.63,120,closed,2024-04-20 20:01:36
352,53597,Personal,7097597.72,11.68,36,closed,2024-07-30 15:52:06
353,77829,Personal,4525914.12,8.31,240,rejected,2024-03-29 17:49:27
354,88015,Personal,7973069.9,12.51,24,rejected,2023-08-30 04:31:01
355,48141,Home,2541378.54,13.9,24,approved,2024-01-20 20:28:06
356,11860,Personal,2381405.29,11.24,12,pending,2024-06-14 17:08:36
357,9674,Auto,9435173.59,9.92,60,rejected,2024-03-12 00:31:41
358,71645,Auto,197837.31,11.67,240,rejected,2024-01-07 05:41:10
359,94611,Personal,4270063.9,13.41,120,approved,2024-08-31 19:06:03
360,57126,Personal,1134022.89,7.29,180,approved,2024-08-25 15:57:56
361,86290,Personal,9732486.41,9.08,240,approved,2023-11-21 15:21:22
362,98499,Auto,4913373.59,8.45,12,closed,2024-07-30 17:53:02
363,82485,Auto,467038.5,7.88,60,rejected,2023-07-01 13:16:52
364,10582,Business,1164376.54,12.32,60,approved,2024-09-27 20:08:22
365,58951,Auto,3343584.22,9.84,48,approved,2025-02-04 21:40:23
366,97971,Auto,4638465.31,8.17,36,closed,2023-05-26 19:31:00
367,30117,Home,1319317.59,14.76,180,pending,2025-03-17 12:58:19
368,59640,Business,7246892.33,12.2,180,rejected,2024-03-23 12:17:26
369,14963,Personal,7429632.87,13.97,24,approved,2024-04-15 14:24:18
370,80248,Home,8730872.97,7.09,60,approved,2024-08-01 22:53:15
371,53105,Home,8404458.81,14.74,180,rejected,2023-10-10 03:16:19
372,80388,Education,3576536.6,12.44,48,closed,2024-07-26 04:49:04
373,67696,Home,907905.55,13.01,12,pending,2024-01-11 09:36:40
374,80162,Education,7323936.26,11.8,12,approved,2024-09-15 16:14:59
375,69256,Personal,6853449.83,11.1,24,pending,2023-12-06 15:43:04
376,31595,Education,8928719.66,10.22,180,approved,2025-03-06 12:29:49
377,95935,Education,959221.22,9.27,180,approved,2023-06-02 22:31:27
378,39982,Business,5523041.37,14.18,120,approved,2023-12-31 10:27:57
379,60383,Business,3078131.67,13.14,240,pending,2025-02-21 03:42:04
380,19714,Personal,1614949.23,11.0,240,approved,2024-06-30 21:36:23
381,93362,Home,9533640.66,10.66,12,approved,2024-10-14 09:22:49
